,Exemplar,Cluster
70,Ham & Cheese Panini,"CC ham and cheese panini, Four Cheese Penne, Gunn JP Cheese & Beans, Ham & Cheese Panini, Ham & Emmental Barmarked Panini, Jam & Marmalade Portions, Macaroni Cheese Salad , Panini - Cheese & Ham, Tuna Melt Panini "
71,Sauce Sachet,"Bacon Rasher, Frappucino Mocha, Sauce Sachet, Sm Iced Cappuccino, Snack o jack S&V, Starbucks Iced Tea, Veuve Clicquot"
72,Fevertree Lemonade ,"Fever-Tree Light 220ml, Fevertree Lemonade , Five Item Breakfast, Pimms and Lemonade"
73,Water,"*Panini, Aero, Banana, Cake , Can-o-water, Jambon, Liqueurs, Olives, Orchestrated, Preserve, Quaver, Radnor, Snickers, Toastie, Tracker, Wallet, Water, Wrigleys, Yazoo, can "
74,Jacket Topper SS,"Charred Tender Stem, Hot jacket topper , Jacket Filling x2, Jacket Spud 80p, Jacket Topper SS, Nocco Can Tropical SS, Table Top Cafe Au Lait, Vit Hit berry SS"
75,Meal Deal - Chicken & Fries ,"Meal Deal - Bacon Bap & Drink , Meal Deal - Chicken & Fries "
76,Jacket Potato & Protein,"Jacket Potato & Protein, Jacket Potato One FIlling"
77,Deli Salad,"Apple Sultana FJ, BK Delhi Tikka , Chana Palak, Cheese Salad, DMInvisible150m, DOUBLE ESPRESSO, Deli 3.45, Deli Ciabatta STD, Deli Salad, Deli Spec Bread STD, Divina Cava Bt, EHU Lanyard, Greek Salad, Greek Salad , Ham Salad, Just Sausage, Kelloggs Square, Pepsi Max 1/2, Rare Beef Salad, Small Salad, Veg Sausage, cheezie Straws, meal Deal - Pasta Salad, £2.50 meal deal "
78,Primo Americano,"Irish Trashcan, Primo Americano, Primo H/C B/Forest, Small Americano, Wimbledon Special"
79,Annual pass for 1 concession ,Annual pass for 1 concession 
80,Flat White,"Constantine, Elm St Ice Tea, Flat White, Plum Tomato, Roast Turkey, SB Flat White"
81,Butternut Squash Tagine & Couscous (v),Butternut Squash Tagine & Couscous (v)
82,Gluten Free Summer Berry Flapjack,Gluten Free Summer Berry Flapjack
83,Finca Valero Garnacha Rosado Bottle ,Finca Valero Garnacha Rosado Bottle 
84,Soho Ham Cheddar & Mustard Mayo Baguette,Soho Ham Cheddar & Mustard Mayo Baguette
85,FUZE TEA BLACK TEA Lemon Pet 40cl,FUZE TEA BLACK TEA Lemon Pet 40cl
86,Walkers Baked Salt & Vinegar,"Pop Chips sea salt & vinegar, Walkers Baked Salt & Vinegar, Walkers Baked Sea Salt 37.5g, Walkers Ready Salted 32.5g"
87,Radnor Splash Lemon & Lime 330ml,Radnor Splash Lemon & Lime 330ml
88,Framptons Still Water (330ml),Framptons Still Water (330ml)
89,Hot Milk,"250ml Coconut Milk, Add Splash of Milk, Dairy Milk, H from H 4.25, Hot Milk, Hot Milk 8oz, Lemon Drizzle, No Milk, Olive Oil, Soya Milk, Special Milk, Too Drunk, Tropical Mix, W31. Ramon Bilbao"
90,"Soho Ham, Cheddar & Pickle","Soho Ham, Cheddar & Pickle"
91,Pasta salad large,"Costa Can Vanilla Latte , Costa Small Hot Choc , Iced Costa Latte Large , LRG P'Kin Spiced Latte, Pasta Kuchari , Pasta salad large, Pasta with Putenesca Sauce, Pesto Baked Chicken, Pizza Slice Plain , Sauteed Savoy Cabbage, Speciality Teas - large, ZZ Standard Carvery, mangalore malabar bk"
92,Veganz Clean Protein Bar Cacao 45g,Veganz Clean Protein Bar Cacao 45g
93,Crabbie's Alcoholic Ginger Beer,Crabbie's Alcoholic Ginger Beer
94,Sausage Sandwich,"BBQ Sausage Sandwich, Cheese & Tomato Sandwich, Cheese sandwich , Double Hendricks, Egg Sandwich, Falafel Sandwich, Fish Finger Sandwich, Grab & Go Sandwich B, S Sandwich, Sausage Baguette, Sausage Sandwich, Steak Sandwich, W Margherita Slice, cafe - Premium Sandwich, sausage and mash, £2.00 Sandwich  "
95,Strongbow Dark Fruits (Pint),"Strongbow Dark Fruit Pint 4.0%, Strongbow Dark Fruits (Pint), Strongbow Dark Fruits Can"
96,J2o Apple & Raspberry,"Go Ahead Strawberry, J2O Apple & Raspberry, J2o Apple & Raspberry, muller corner strawberry"
97,Border Biscuit,"Border Biscuit, ElderFlower Belvoir, Forest Discount, Ginger Biscuit, Tiffany Biscuit"
98,Smart Water Sparkling 600ml,"Abbey Well Sparkling Water 500ml, Smart Water Sparkling 600ml, Strathmore - Sparkling 750ml"
99,Salmon & Tripe Mince 454g,Salmon & Tripe Mince 454g
100,Chicken Wings & Fries Snack Box,Chicken Wings & Fries Snack Box
101,Alpen Bar Strawberry & Yoghurt,Alpen Bar Strawberry & Yoghurt
102,GLUTEN FREE Chunky Egg Roll V ,GLUTEN FREE Chunky Egg Roll V 
103,CL111 - Ham & Matue Cheddar,CL111 - Ham & Matue Cheddar
104,Extra Shot,"1 x Hash Brown, Extra Cream, Extra Filling, Extra Hot, Extra Option £1.09, Extra Protein, Extra Shot, Extra Shot , GH Extra Shot, Lux Rasp Sgl , PE Polo Shirt KF, Pizza 2.75, St. Simon , Syrup Shot SS, Victoria Sponge"
105,Symonds Cider Pint (+Eco cup),Symonds Cider Pint (+Eco cup)
106,Soho Greek Style Yoghurt with Mixed Berry Compote,Soho Greek Style Yoghurt with Mixed Berry Compote
107,800g Roberts Brown Medium PMP,800g Roberts Brown Medium PMP
