,Exemplar,Cluster
51,LATTE SMALL,"ADD MUSHY PEAS - STAFF, Add Egg, DESSERT PLATTER, LATTE SMALL, LIME, MEDIUM LATTE, SAN MIGUEL 2PINT, SMALL WHITE PET, T ICE LATTE, TOMATOES"
52,wispa ,"Oasis, Rasp Kiss, Twix, wispa "
53,Vegetable Tagine,"English Tea, Free Vegetable Sub, HH Venti Chai Tea, Real salt & Vinegar, Tealin Cute Lead, Van Twix Public, Vegetable Salad, Vegetable Tagine, Vegetables, WN P Violet Dbl, Yellows Vegetable Tagine "
54,£2.00 Sandwich  ,"J20 £2.20, Sandwich £1.50, Titanic Pint £3.60, £2.00 Sandwich  "
55,Sausage Roll,"Jumbo Sausage Roll, Lou Rose, Roll, Sausage, Sausage Pork, Sausage Roll, SausageRoll, Soup & Roll, Sugar Curls, The Soul "
56,Giant bar orange,"EG Orginal, Giant bar orange, Ginger Loaf, Gingerbread, Grab Bags, Graze sharing, Jagerbomb, Raspberry Gin, Strongbow Half, Vegan Gingerbread Brownie, haribo tangfastics"
57,Garlic Bread,"Bacardi Dbl, Bacardi Gold 25ml, Deli Bar Salad, Garlic Bread, Garlic Mayo, S/B SyrupG/Bread"
58,Disaronno Single,"Crabbies Original, DWOriginal40ml, Dettol Soap Original, Disaronno Single, Dissertation Binding, Fishfinger Sarnie, Gordons Single, Larios Gin Sgl, Lincolnshire Sausage, Onion rings, Sharer for 2 MD, Single Serve Rose Wine, Smirnoff Vodka Double"
59,oh so chocolate chunk muffin,"Chicken Nuggets, Cocktail Glass Refund, Delias Duck Supplement, Double macchiato, Eat real sour cream & chive, Gluten free flapjack cashew & coconut, Huntsman?s Chicken, Metcalfe's rice cakes, Muffin Omelette , Quench Squash Small , Raffle Tickets, Refreshment package, Tesco Chicken Salad Sub, Tunnocks caramel, Vendance White Zinfandel 175ml, Welcome Drink Discounts, loaf cake chocolate cake, oh so blueberry muffin, oh so chocolate chunk muffin"
60,Lucozade Original ,"Lucozade Orange, Lucozade Original , Lucozade Sport Orange 500ml, LucozadeOrin380ml, Orange Cordial Large"
61, Hot Drinks ," Hot Drinks , Additions A, Doritos, Kids Drinks, R Refresh Drinks"
62,Fresh Fruit,"Battered Fish, Budweiser, Crispy Fish burger, Fish 65, Fish Only, Fleurie , Fresh Fruit, Fries, Liqueurs"
